id,categoria,valore
1,beta,1
2,gamma,2
3,alpha,3
4,beta,4
5,gamma,5
6,alpha,6
7,beta,0
8,gamma,1
9,alpha,2
10,beta,3
11,gamma,4
12,alpha,5
13,beta,6
14,gamma,0
15,alpha,1
16,beta,2
17,gamma,3
18,alpha,4
19,beta,5
20,gamma,6
21,alpha,0
22,beta,1
23,gamma,2
24,alpha,3
25,beta,4
26,gamma,5
27,alpha,6
28,beta,0
29,gamma,1
30,alpha,2
31,beta,3
32,gamma,4
33,alpha,5
34,beta,6
35,gamma,0
36,alpha,1
37,beta,2
38,gamma,3
39,alpha,4
40,beta,5
41,gamma,6
42,alpha,0
43,beta,1
44,gamma,2
45,alpha,3
46,beta,4
47,gamma,5
48,alpha,6
49,beta,0
50,gamma,1
51,alpha,2
52,beta,3
53,gamma,4
54,alpha,5
55,beta,6
56,gamma,0
57,alpha,1
58,beta,2
59,gamma,3
60,alpha,4
61,beta,5
62,gamma,6
63,alpha,0
64,beta,1
65,gamma,2
66,alpha,3
67,beta,4
68,gamma,5
69,alpha,6
70,beta,0
71,gamma,1
72,alpha,2
73,beta,3
74,gamma,4
75,alpha,5
76,beta,6
77,gamma,0
78,alpha,1
79,beta,2
