name,context,params,steps,batch_size,validation_bpb,test_bpb,train_seconds,peak_rss_mib
tiny-c32,32,11216,80,32,4.859356617,4.648460827,0.996542,372.973
tiny-c64,64,11728,80,16,4.841863589,4.615580179,1.136078,373.496
tiny-c128,128,12752,80,8,4.880825840,4.723845644,1.224142,375.727
tiny-c256-budget,256,14800,20,4,6.906002557,6.830387719,0.928265,379.449
base-c32,32,34816,80,32,4.537382113,4.160060201,1.713822,378.996
base-c64,64,35840,80,16,4.571356453,4.139561653,2.186382,382.246
base-c128,128,37888,80,8,4.665829231,4.215685281,4.563777,386.164
base-c256-budget,256,41984,20,4,5.268076767,5.113109564,2.624134,402.684
medium-c32,32,64384,80,32,4.267878839,3.794838859,2.102504,381.531
medium-c64,64,65920,80,16,4.392253870,3.862443772,2.276997,384.008
medium-c128,128,68992,80,8,4.473310218,3.918155467,4.773818,391.809
medium-c256-budget,256,75136,20,4,4.960604765,4.877694638,2.831224,408.785
