category,cheap_choice_fractions,cheap_decode_seconds,cheap_encode_seconds,cheap_payload_bpb,cheap_pol1_bpb,file,neural_gate_decode_seconds,neural_gate_encode_seconds,neural_gate_payload_bpb,neural_gate_pol1_bpb,sample_bytes,zlib_bpb,zstd19_bpb
bibliography,"{'adaptive-o0': 0.00830078125, 'adaptive-o1': 0.0078125, 'adaptive-o2': 0.03759765625, 'adaptive-o3': 0.9462890625, 'run': 0.0}",0.7699927450000814,0.6684923380000782,4.6962890625,5.05859375,bib,,,4.38671875,4.74609375,2048,4.37890625,4.4375
fiction,"{'adaptive-o0': 0.0107421875, 'adaptive-o1': 0.02294921875, 'adaptive-o2': 0.0546875, 'adaptive-o3': 0.91162109375, 'run': 0.0}",0.680148779000092,0.6755059390000042,4.4755859375,4.8359375,book1,,,4.14208984375,4.50390625,2048,4.484375,4.5078125
nonfiction-troff,"{'adaptive-o0': 0.00634765625, 'adaptive-o1': 0.01025390625, 'adaptive-o2': 0.0205078125, 'adaptive-o3': 0.9619140625, 'run': 0.0009765625}",0.6730463290000444,0.6689431300001161,4.2685546875,4.62890625,book2,,,3.90771484375,4.26953125,2048,4.140625,4.14453125
geophysical,"{'adaptive-o0': 0.0078125, 'adaptive-o1': 0.72119140625, 'adaptive-o2': 0.03955078125, 'adaptive-o3': 0.2080078125, 'run': 0.0234375}",0.7292848549998325,0.7329351690000294,5.17236328125,5.53515625,geo,,,5.21826171875,5.578125,2048,5.58203125,5.6328125
usenet,"{'adaptive-o0': 0.01611328125, 'adaptive-o1': 0.0107421875, 'adaptive-o2': 0.03564453125, 'adaptive-o3': 0.9375, 'run': 0.0}",0.6825122840000404,0.6809184439998717,4.8310546875,5.19140625,news,,,4.51025390625,4.87109375,2048,4.29296875,4.37109375
vax-object,"{'adaptive-o0': 0.0439453125, 'adaptive-o1': 0.04833984375, 'adaptive-o2': 0.00390625, 'adaptive-o3': 0.35595703125, 'run': 0.5478515625}",0.676533149000079,0.6769914530000278,3.1875,3.546875,obj1,,,3.19677734375,3.55859375,2048,2.8125,2.74609375
mac-object,"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.009765625, 'adaptive-o2': 0.04736328125, 'adaptive-o3': 0.92529296875, 'run': 0.0166015625}",0.6967608620000192,0.6985001080001894,4.88818359375,5.25,obj2,,,4.7265625,5.0859375,2048,4.375,4.44140625
technical-paper,"{'adaptive-o0': 0.005859375, 'adaptive-o1': 0.0068359375, 'adaptive-o2': 0.02294921875, 'adaptive-o3': 0.96435546875, 'run': 0.0}",0.6733586279999599,0.6796918130000904,4.45166015625,4.8125,paper1,,,4.04833984375,4.41015625,2048,4.09375,4.15234375
technical-paper,"{'adaptive-o0': 0.005859375, 'adaptive-o1': 0.0068359375, 'adaptive-o2': 0.01220703125, 'adaptive-o3': 0.97509765625, 'run': 0.0}",0.6811758500000451,0.6861326759999429,4.544921875,4.90625,paper2,,,4.21728515625,4.578125,2048,4.41796875,4.4765625
fax,"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.96630859375, 'run': 0.03271484375}",0.6402195260000099,0.6409717689998615,0.02392578125,0.38671875,pic,,,0.02685546875,0.38671875,2048,0.08984375,0.0703125
c-source,"{'adaptive-o0': 0.00341796875, 'adaptive-o1': 0.0126953125, 'adaptive-o2': 0.0009765625, 'adaptive-o3': 0.98291015625, 'run': 0.0}",0.6721935049999956,0.6710983319999286,4.01220703125,4.375,progc,,,3.78662109375,4.1484375,2048,3.31640625,3.31640625
lisp-source,"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.96337890625, 'run': 0.03564453125}",0.6724497029999839,0.6703639629999998,3.53759765625,3.8984375,progl,,,3.27734375,3.63671875,2048,2.60546875,2.65625
pascal-source,"{'adaptive-o0': 0.00927734375, 'adaptive-o1': 0.0048828125, 'adaptive-o2': 0.0380859375, 'adaptive-o3': 0.94775390625, 'run': 0.0}",0.669590929999913,0.6689190110000709,4.466796875,4.828125,progp,,,4.205078125,4.56640625,2048,4.0,4.03125
terminal-transcript,"{'adaptive-o0': 0.01123046875, 'adaptive-o1': 0.0166015625, 'adaptive-o2': 0.0126953125, 'adaptive-o3': 0.87744140625, 'run': 0.08203125}",0.6753416100000322,0.671782359999952,4.48974609375,4.8515625,trans,,,4.29296875,4.65234375,2048,4.08203125,4.1328125
