choice_fractions,decode_seconds,encode_seconds,file,payload_bpb,pol1_bpb,sample_bytes,window
"{'adaptive-o0': 0.03076171875, 'adaptive-o1': 0.0341796875, 'adaptive-o2': 0.09423828125, 'adaptive-o3': 0.83642578125, 'run': 0.00439453125}",0.7015155440001308,0.6831335350000245,alice29.txt,4.2451171875,4.60546875,2048,16
"{'adaptive-o0': 0.029296875, 'adaptive-o1': 0.05517578125, 'adaptive-o2': 0.03369140625, 'adaptive-o3': 0.8818359375, 'run': 0.0}",0.6629419620001045,0.6747269009999854,fields.c,4.15478515625,4.515625,2048,16
"{'adaptive-o0': 0.037109375, 'adaptive-o1': 0.00341796875, 'adaptive-o2': 0.72802734375, 'adaptive-o3': 0.21728515625, 'run': 0.01416015625}",0.7164480270000695,0.7122156120001364,kennedy.xls,4.31591796875,4.67578125,2048,16
"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.98876953125, 'run': 0.01025390625}",0.6231754229997932,0.6260599449999518,ptt5,0.0234375,0.3828125,2048,16
"{'adaptive-o0': 0.0703125, 'adaptive-o1': 0.25, 'adaptive-o2': 0.2744140625, 'adaptive-o3': 0.32373046875, 'run': 0.08154296875}",0.7377037159999418,0.7384686719999536,sum,2.60546875,2.96484375,2048,16
"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.98876953125, 'run': 0.01025390625}",0.6183680960000402,0.6140902669999377,aaa.txt,0.02294921875,0.3828125,2048,16
"{'adaptive-o0': 0.54052734375, 'adaptive-o1': 0.3984375, 'adaptive-o2': 0.06103515625, 'adaptive-o3': 0.0, 'run': 0.0}",0.6601735669999016,0.668165517000034,random.txt,6.42578125,6.78515625,2048,16
"{'adaptive-o0': 0.001953125, 'adaptive-o1': 0.00048828125, 'adaptive-o2': 0.00146484375, 'adaptive-o3': 0.99609375, 'run': 0.0}",0.6757846629998312,0.6700817590001407,alice29.txt,4.2177734375,4.578125,2048,64
"{'adaptive-o0': 0.01904296875, 'adaptive-o1': 0.0107421875, 'adaptive-o2': 0.0322265625, 'adaptive-o3': 0.93798828125, 'run': 0.0}",0.683286174000159,0.674571689000004,fields.c,4.14794921875,4.5078125,2048,64
"{'adaptive-o0': 0.02978515625, 'adaptive-o1': 0.00048828125, 'adaptive-o2': 0.73095703125, 'adaptive-o3': 0.23876953125, 'run': 0.0}",0.7275145179999072,0.7243261419998817,kennedy.xls,4.3193359375,4.6796875,2048,64
"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.96630859375, 'run': 0.03271484375}",0.6481557079998765,0.6485668650000207,ptt5,0.02392578125,0.38671875,2048,64
"{'adaptive-o0': 0.00634765625, 'adaptive-o1': 0.29833984375, 'adaptive-o2': 0.25390625, 'adaptive-o3': 0.3857421875, 'run': 0.0556640625}",0.7495774110000184,0.754274052000028,sum,2.60400390625,2.96484375,2048,64
"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.96630859375, 'run': 0.03271484375}",0.6383395090001613,0.6354375760001858,aaa.txt,0.02392578125,0.38671875,2048,64
"{'adaptive-o0': 0.427734375, 'adaptive-o1': 0.43994140625, 'adaptive-o2': 0.13232421875, 'adaptive-o3': 0.0, 'run': 0.0}",0.6706554849999975,0.670217766000178,random.txt,6.4267578125,6.7890625,2048,64
"{'adaptive-o0': 0.001953125, 'adaptive-o1': 0.00048828125, 'adaptive-o2': 0.00048828125, 'adaptive-o3': 0.9970703125, 'run': 0.0}",0.7440818630000194,0.7410651689999668,alice29.txt,4.2177734375,4.578125,2048,256
"{'adaptive-o0': 0.01904296875, 'adaptive-o1': 0.00048828125, 'adaptive-o2': 0.03759765625, 'adaptive-o3': 0.94287109375, 'run': 0.0}",0.7310208629999124,0.7377449990001423,fields.c,4.14599609375,4.5078125,2048,256
"{'adaptive-o0': 0.00537109375, 'adaptive-o1': 0.00048828125, 'adaptive-o2': 0.7587890625, 'adaptive-o3': 0.2353515625, 'run': 0.0}",0.7897833039999114,0.7929150730001311,kennedy.xls,4.32373046875,4.68359375,2048,256
"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.873046875, 'run': 0.1259765625}",0.8118037169999752,0.8145301889999246,ptt5,0.02490234375,0.38671875,2048,256
"{'adaptive-o0': 0.00439453125, 'adaptive-o1': 0.3017578125, 'adaptive-o2': 0.2529296875, 'adaptive-o3': 0.43505859375, 'run': 0.005859375}",0.847932154000091,0.8536255639999126,sum,2.6181640625,2.98046875,2048,256
"{'adaptive-o0': 0.0009765625, 'adaptive-o1': 0.0, 'adaptive-o2': 0.0, 'adaptive-o3': 0.873046875, 'run': 0.1259765625}",0.8132998520000001,0.807930178000106,aaa.txt,0.0244140625,0.38671875,2048,256
"{'adaptive-o0': 0.40869140625, 'adaptive-o1': 0.447265625, 'adaptive-o2': 0.14404296875, 'adaptive-o3': 0.0, 'run': 0.0}",0.7207079289999001,0.7248853700000382,random.txt,6.42724609375,6.7890625,2048,256
