activate_ratio,correct,false_negative,false_positive,max_probe_bytes,mean_decision_byte,min_observations,ratio_bits,reject_ratio_den
2,5,1,3,64,9.444444444444445,8,1,2
4,6,0,3,64,12.555555555555555,8,2,4
16,7,0,2,64,17.88888888888889,8,4,16
256,7,1,1,64,22.77777777777778,8,8,256
2,5,1,3,128,9.444444444444445,8,1,2
4,6,0,3,128,12.555555555555555,8,2,4
16,6,0,3,128,18.444444444444443,8,4,16
256,5,1,3,128,29.333333333333332,8,8,256
2,5,1,3,256,9.444444444444445,8,1,2
4,6,0,3,256,12.555555555555555,8,2,4
16,6,0,3,256,18.444444444444443,8,4,16
256,5,1,3,256,29.333333333333332,8,8,256
2,5,1,3,64,16.333333333333332,16,1,2
4,5,1,3,64,19.333333333333332,16,2,4
16,6,1,2,64,28.444444444444443,16,4,16
256,7,1,1,64,33.111111111111114,16,8,256
2,5,1,3,128,16.333333333333332,16,1,2
4,5,1,3,128,19.333333333333332,16,2,4
16,5,1,3,128,36.111111111111114,16,4,16
256,5,1,3,128,46.77777777777778,16,8,256
2,5,1,3,256,16.333333333333332,16,1,2
4,5,1,3,256,19.333333333333332,16,2,4
16,5,1,3,256,50.333333333333336,16,4,16
256,5,1,3,256,61,16,8,256
2,5,1,3,64,32,32,1,2
4,5,1,3,64,35.666666666666664,32,2,4
16,6,1,2,64,39.111111111111114,32,4,16
256,7,1,1,64,46.22222222222222,32,8,256
2,5,1,3,128,32,32,1,2
4,5,1,3,128,42.77777777777778,32,2,4
16,5,1,3,128,46.77777777777778,32,4,16
256,4,1,4,128,63.111111111111114,32,8,256
2,5,1,3,256,32,32,1,2
4,5,1,3,256,57,32,2,4
16,5,1,3,256,61,32,4,16
256,4,1,4,256,77.33333333333333,32,8,256
