correct,false_negative,false_positive,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,min_projected_gain_bits,persistence_observations,recent_gain_bits,recent_window
11,1,2,64,23.214285714285715,0.008527483258928572,0,2,1,4
11,1,2,64,23.214285714285715,0.008527483258928572,32,2,1,4
11,1,2,64,23.214285714285715,0.008527483258928572,64,2,1,4
11,1,2,64,23.214285714285715,0.008527483258928572,128,2,1,4
11,1,2,64,23.214285714285715,0.008527483258928572,256,2,1,4
11,1,2,64,23.214285714285715,0.008527483258928572,0,2,2,4
11,1,2,64,23.214285714285715,0.008527483258928572,32,2,2,4
11,1,2,64,23.214285714285715,0.008527483258928572,64,2,2,4
11,1,2,64,23.214285714285715,0.008527483258928572,128,2,2,4
11,1,2,64,23.214285714285715,0.008527483258928572,256,2,2,4
11,1,2,64,23.214285714285715,0.008527483258928572,0,2,3,4
11,1,2,64,23.214285714285715,0.008527483258928572,32,2,3,4
11,1,2,64,23.214285714285715,0.008527483258928572,64,2,3,4
11,1,2,64,23.214285714285715,0.008527483258928572,128,2,3,4
11,1,2,64,23.214285714285715,0.008527483258928572,256,2,3,4
11,1,2,64,23.214285714285715,0.008527483258928572,0,2,4,4
11,1,2,64,23.214285714285715,0.008527483258928572,32,2,4,4
11,1,2,64,23.214285714285715,0.008527483258928572,64,2,4,4
11,1,2,64,23.214285714285715,0.008527483258928572,128,2,4,4
11,1,2,64,23.214285714285715,0.008527483258928572,256,2,4,4
11,1,2,64,26.071428571428573,0.008527483258928572,0,4,1,4
11,1,2,64,26.071428571428573,0.008527483258928572,32,4,1,4
11,1,2,64,26.071428571428573,0.008527483258928572,64,4,1,4
11,1,2,64,26.071428571428573,0.008527483258928572,128,4,1,4
11,1,2,64,26.071428571428573,0.008527483258928572,256,4,1,4
11,1,2,64,26.071428571428573,0.008527483258928572,0,4,2,4
11,1,2,64,26.071428571428573,0.008527483258928572,32,4,2,4
11,1,2,64,26.071428571428573,0.008527483258928572,64,4,2,4
11,1,2,64,26.071428571428573,0.008527483258928572,128,4,2,4
11,1,2,64,26.071428571428573,0.008527483258928572,256,4,2,4
11,1,2,64,26.142857142857142,0.008527483258928572,0,4,3,4
