category,cheap_bpb,decision_byte,file,mode,neural_bpb,oracle_bpb,oracle_regret_bpb,selected_route,source,specialist_call_fraction
english-text,4.35791015625,5,dickens,max,4.0498046875,4.0498046875,0.0,neural-gate,pilot-007-silesia,1.0
english-text,4.35791015625,9,dickens,balanced,4.0498046875,4.0498046875,0.0,neural-gate,pilot-007-silesia,1.0
windows-dll,1.384765625,32,ooffice,max,1.40771484375,1.384765625,0.0,cheap-gate,pilot-007-silesia,0.015625
windows-dll,1.384765625,14,ooffice,balanced,1.40771484375,1.384765625,0.0,cheap-gate,pilot-007-silesia,0.0068359375
mysql-database,6.27978515625,17,osdb,max,6.26611328125,6.26611328125,0.0,neural-gate,pilot-007-silesia,1.0
mysql-database,6.27978515625,16,osdb,balanced,6.26611328125,6.26611328125,0.013671875,cheap-gate,pilot-007-silesia,0.0078125
polish-pdf,3.7275390625,6,reymont,max,3.69482421875,3.69482421875,0.0,neural-gate,pilot-007-silesia,1.0
polish-pdf,3.7275390625,8,reymont,balanced,3.69482421875,3.69482421875,0.0,neural-gate,pilot-007-silesia,1.0
xml,3.54248046875,4,xml,max,3.4423828125,3.4423828125,0.0,neural-gate,pilot-007-silesia,1.0
xml,3.54248046875,5,xml,balanced,3.4423828125,3.4423828125,0.0,neural-gate,pilot-007-silesia,1.0
medical-xray,5.97802734375,10,x-ray,max,5.97802734375,5.97802734375,0.0,neural-gate,pilot-007-silesia,1.0
medical-xray,5.97802734375,16,x-ray,balanced,5.97802734375,5.97802734375,0.0,cheap-gate,pilot-007-silesia,0.0078125
dna,2.092041015625,17,E.coli,max,2.091064453125,2.091064453125,0.0,neural-gate,pilot-008-large,1.0
dna,2.092041015625,6,E.coli,balanced,2.091064453125,2.091064453125,0.0009765625,cheap-gate,pilot-008-large,0.00146484375
english-bible,3.04248046875,4,bible.txt,max,2.98193359375,2.98193359375,0.0,neural-gate,pilot-008-large,1.0
english-bible,3.04248046875,5,bible.txt,balanced,2.98193359375,2.98193359375,0.0,neural-gate,pilot-008-large,1.0
world-factbook,4.44482421875,9,world192.txt,max,4.2509765625,4.2509765625,0.0,neural-gate,pilot-008-large,1.0
world-factbook,4.44482421875,5,world192.txt,balanced,4.2509765625,4.2509765625,0.19384765625,cheap-gate,pilot-008-large,0.001220703125
xml-repetitive,3.82763671875,8,xml-mut,max,3.771728515625,3.771728515625,0.0,neural-gate,pilot-009-pseudo-real,1.0
xml-repetitive,3.82763671875,9,xml-mut,balanced,3.771728515625,3.771728515625,0.0,neural-gate,pilot-009-pseudo-real,1.0
dna-repetitive,1.979248046875,4,dna-mut,max,1.974609375,1.974609375,0.0,neural-gate,pilot-009-pseudo-real,1.0
dna-repetitive,1.979248046875,16,dna-mut,balanced,1.974609375,1.974609375,0.004638671875,cheap-gate,pilot-009-pseudo-real,0.00390625
english-repetitive,3.963623046875,9,english-mut,max,3.7060546875,3.7060546875,0.0,neural-gate,pilot-009-pseudo-real,1.0
english-repetitive,3.963623046875,12,english-mut,balanced,3.7060546875,3.7060546875,0.0,neural-gate,pilot-009-pseudo-real,1.0
proteins-repetitive,4.328857421875,16,proteins-mut,max,4.327880859375,4.327880859375,0.0,neural-gate,pilot-009-pseudo-real,1.0
proteins-repetitive,4.328857421875,16,proteins-mut,balanced,4.327880859375,4.327880859375,0.0009765625,cheap-gate,pilot-009-pseudo-real,0.00390625
source-code-repetitive,3.9580078125,6,sources-mut,max,3.826171875,3.826171875,0.0,neural-gate,pilot-009-pseudo-real,1.0
source-code-repetitive,3.9580078125,9,sources-mut,balanced,3.826171875,3.826171875,0.0,neural-gate,pilot-009-pseudo-real,1.0
mixed-executables-tar,2.629638671875,4,mozilla,max,2.57666015625,2.57666015625,0.0,neural-gate,pilot-010-silesia,1.0
mixed-executables-tar,2.629638671875,7,mozilla,balanced,2.57666015625,2.57666015625,0.0,neural-gate,pilot-010-silesia,1.0
medical-mri-dicom,3.847412109375,8,mr,max,3.84912109375,3.847412109375,0.001708984375,neural-gate,pilot-010-silesia,1.0
medical-mri-dicom,3.847412109375,16,mr,balanced,3.84912109375,3.847412109375,0.0,cheap-gate,pilot-010-silesia,0.00390625
chemical-database-sdf,1.689208984375,14,nci,max,1.676025390625,1.676025390625,0.0,neural-gate,pilot-010-silesia,1.0
chemical-database-sdf,1.689208984375,4,nci,balanced,1.676025390625,1.676025390625,0.01318359375,cheap-gate,pilot-010-silesia,0.0009765625
source-project-tar,3.693603515625,4,samba,max,3.372314453125,3.372314453125,0.0,neural-gate,pilot-010-silesia,1.0
source-project-tar,3.693603515625,5,samba,balanced,3.372314453125,3.372314453125,0.0,neural-gate,pilot-010-silesia,1.0
astronomical-binary-database,6.795654296875,17,sao,max,6.792724609375,6.792724609375,0.0,neural-gate,pilot-010-silesia,1.0
astronomical-binary-database,6.795654296875,16,sao,balanced,6.792724609375,6.792724609375,0.0029296875,cheap-gate,pilot-010-silesia,0.00390625
english-dictionary-html,4.216552734375,6,webster,max,4.002685546875,4.002685546875,0.0,neural-gate,pilot-010-silesia,1.0
english-dictionary-html,4.216552734375,4,webster,balanced,4.002685546875,4.002685546875,0.2138671875,cheap-gate,pilot-010-silesia,0.0009765625
