activation_credit_bits,max_oracle_regret_bpb,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,mean_specialist_call_fraction,min_observations,rejection_credit_bits
12,0.3212890625,16,9.4,0.0577880859375,0.25245361328125,4,2
10,0.257568359375,16,8.85,0.0417236328125,0.30225830078125,4,2
8,0.257568359375,16,8.3,0.03671875,0.35196533203125,4,2
8,0.3212890625,16,16,0.0271728515625,0.353515625,16,2
8,0.3212890625,16,16,0.0271728515625,0.353515625,16,4
8,0.3212890625,16,16,0.0271728515625,0.353515625,16,6
8,0.3212890625,16,16,0.0271728515625,0.353515625,16,8
8,0.3212890625,16,16,0.0271728515625,0.353515625,16,10
8,0.3212890625,16,16,0.0271728515625,0.353515625,16,12
8,0.3212890625,16,16,0.0271728515625,0.353515625,16,16
10,0.3212890625,16,16,0.0271728515625,0.353515625,16,2
10,0.3212890625,16,16,0.0271728515625,0.353515625,16,4
10,0.3212890625,16,16,0.0271728515625,0.353515625,16,6
10,0.3212890625,16,16,0.0271728515625,0.353515625,16,8
10,0.3212890625,16,16,0.0271728515625,0.353515625,16,10
10,0.3212890625,16,16,0.0271728515625,0.353515625,16,12
10,0.3212890625,16,16,0.0271728515625,0.353515625,16,16
12,0.3212890625,16,16,0.0271728515625,0.353515625,16,2
12,0.3212890625,16,16,0.0271728515625,0.353515625,16,4
12,0.3212890625,16,16,0.0271728515625,0.353515625,16,6
12,0.3212890625,16,16,0.0271728515625,0.353515625,16,8
12,0.3212890625,16,16,0.0271728515625,0.353515625,16,10
12,0.3212890625,16,16,0.0271728515625,0.353515625,16,12
12,0.3212890625,16,16,0.0271728515625,0.353515625,16,16
12,0.3212890625,16,11.75,0.025537109375,0.40247802734375,8,2
8,0.2138671875,16,9.9,0.02220458984375,0.45213623046875,4,6
6,0.2138671875,16,8.9,0.02197265625,0.50194091796875,4,6
8,0.10009765625,16,10.85,0.00682373046875,0.5021484375,8,2
10,0.10009765625,16,11.3,0.00682373046875,0.5021484375,8,2
8,0.013671875,16,11.2,0.00181884765625,0.55218505859375,4,8
6,0.013671875,16,9.95,0.0015869140625,0.60166015625,8,2
4,0.013671875,16,9.9,0.0015380859375,0.65146484375,8,2
2,0.01318359375,32,10.7,0.00093994140625,0.75126953125,8,2
4,0.01318359375,32,11.7,0.00093994140625,0.75126953125,8,2
6,0.013671875,32,12.8,0.00081787109375,0.80198974609375,4,8
2,0.001708984375,32,10.5,0.00013427734375,0.85120849609375,4,8
4,0.001708984375,32,11.9,0.00013427734375,0.85120849609375,4,8
0,0.001708984375,32,10,8.544921875e-05,0.95078125,4,12
0,0.001708984375,32,10,8.544921875e-05,0.95078125,4,16
0,0.001708984375,32,11.45,8.544921875e-05,0.95078125,8,10
0,0.001708984375,32,11.45,8.544921875e-05,0.95078125,8,12
0,0.001708984375,32,11.45,8.544921875e-05,0.95078125,8,16
