block_bytes,block_index,bytes,cheap_payload_bits,decision_byte,mode,neural_payload_bits,oracle_route,selected_route,specialist_calls,start,stream
512,0,512,2596,6,max,1981,neural-gate,neural-gate,512,0,mix-a
512,1,512,3091,4,max,2803,neural-gate,neural-gate,512,512,mix-a
512,2,512,3244,32,max,3209,neural-gate,cheap-gate,32,1024,mix-a
512,3,512,1874,6,max,1771,neural-gate,neural-gate,512,1536,mix-a
512,4,512,1722,4,max,1539,neural-gate,neural-gate,512,2048,mix-a
512,5,512,1587,4,max,1206,neural-gate,neural-gate,512,2560,mix-a
512,6,512,1752,4,max,1550,neural-gate,neural-gate,512,3072,mix-a
512,7,512,1825,6,max,1632,neural-gate,neural-gate,512,3584,mix-a
512,0,512,2162,4,max,1990,neural-gate,neural-gate,512,0,mix-b
512,1,512,1822,5,max,1783,neural-gate,neural-gate,512,512,mix-b
512,2,512,1412,9,max,1409,neural-gate,cheap-gate,9,1024,mix-b
512,3,512,2603,7,max,2150,neural-gate,neural-gate,512,1536,mix-b
512,4,512,2299,4,max,1739,neural-gate,neural-gate,512,2048,mix-b
512,5,512,3897,4,max,3780,neural-gate,neural-gate,512,2560,mix-b
512,6,512,4156,32,max,4160,cheap-gate,cheap-gate,32,3072,mix-b
512,7,512,4163,32,max,4174,cheap-gate,cheap-gate,32,3584,mix-b
512,0,512,2059,4,max,1703,neural-gate,neural-gate,512,0,mix-c
512,1,512,2437,4,max,1803,neural-gate,neural-gate,512,512,mix-c
512,2,512,2587,4,max,2095,neural-gate,neural-gate,512,1024,mix-c
512,3,512,3479,4,max,3414,neural-gate,neural-gate,512,1536,mix-c
512,4,512,2771,32,max,2648,neural-gate,cheap-gate,32,2048,mix-c
512,5,512,1949,4,max,1784,neural-gate,neural-gate,512,2560,mix-c
512,6,512,2680,4,max,2275,neural-gate,neural-gate,512,3072,mix-c
512,7,512,2612,4,max,2351,neural-gate,neural-gate,512,3584,mix-c
512,0,512,1750,4,max,1572,neural-gate,neural-gate,512,0,mix-d
512,1,512,2019,4,max,1799,neural-gate,neural-gate,512,512,mix-d
512,2,512,1498,10,max,1437,neural-gate,neural-gate,512,1024,mix-d
512,3,512,981,6,max,859,neural-gate,neural-gate,512,1536,mix-d
512,4,512,4011,5,max,4009,neural-gate,neural-gate,512,2048,mix-d
512,5,512,2974,32,max,2741,neural-gate,cheap-gate,32,2560,mix-d
512,6,512,1977,4,max,1450,neural-gate,neural-gate,512,3072,mix-d
512,7,512,1981,4,max,1625,neural-gate,neural-gate,512,3584,mix-d
512,0,512,4171,32,max,4175,cheap-gate,cheap-gate,32,0,mix-e
512,1,512,2237,4,max,1751,neural-gate,neural-gate,512,512,mix-e
512,2,512,2587,4,max,2095,neural-gate,neural-gate,512,1024,mix-e
512,3,512,1824,4,max,1660,neural-gate,neural-gate,512,1536,mix-e
512,4,512,2075,4,max,1981,neural-gate,neural-gate,512,2048,mix-e
512,5,512,1949,4,max,1784,neural-gate,neural-gate,512,2560,mix-e
512,6,512,2680,4,max,2275,neural-gate,neural-gate,512,3072,mix-e
512,7,512,2612,4,max,2351,neural-gate,neural-gate,512,3584,mix-e
512,0,512,2546,6,max,1868,neural-gate,neural-gate,512,0,mix-f
512,1,512,326,4,max,240,neural-gate,neural-gate,512,512,mix-f
512,2,512,1766,4,max,1633,neural-gate,neural-gate,512,1024,mix-f
512,3,512,4187,32,max,4179,neural-gate,cheap-gate,32,1536,mix-f
512,4,512,2920,14,max,2817,neural-gate,neural-gate,512,2048,mix-f
512,5,512,1780,4,max,1576,neural-gate,neural-gate,512,2560,mix-f
512,6,512,1752,4,max,1550,neural-gate,neural-gate,512,3072,mix-f
512,7,512,1825,6,max,1632,neural-gate,neural-gate,512,3584,mix-f
