block_bytes,compute_fraction,encode_seconds,mode,payload_bpb,stream,switch_count
256,0.71630859375,5.039784377000004,max,3.650634765625,dev-a,4
256,0.5966796875,4.5260048309999945,max,3.682861328125,dev-b,1
256,0.7265625,5.228162116999997,max,4.476806640625,dev-c,3
256,0.66162109375,4.868210841999996,max,3.977783203125,dev-d,3
512,0.643310546875,4.617119141000003,max,3.723388671875,dev-a,4
512,0.63818359375,4.8831217270000025,max,3.41259765625,dev-b,1
512,0.6484375,4.942243738000002,max,4.384033203125,dev-c,3
512,0.643310546875,4.656990304999994,max,3.84423828125,dev-d,3
1024,0.510498046875,4.110225277000012,max,3.98291015625,dev-a,3
1024,0.752685546875,5.625901120999998,max,3.18359375,dev-b,1
1024,0.7578125,5.730534177999999,max,4.460205078125,dev-c,2
1024,0.510498046875,4.374679143999998,max,3.785888671875,dev-d,2
256,0.70166015625,5.007671643999998,balanced,3.6572265625,dev-a,4
256,0.5185546875,4.033293132000011,balanced,3.695068359375,dev-b,3
256,0.70703125,5.0315056069999855,balanced,4.489990234375,dev-c,3
256,0.63720703125,4.648779675000014,balanced,3.98583984375,dev-d,3
512,0.634033203125,4.496033345000001,balanced,3.726318359375,dev-a,4
512,0.63134765625,4.828388428000011,balanced,3.4169921875,dev-b,1
512,0.63671875,4.876870391000011,balanced,4.38916015625,dev-c,3
512,0.631103515625,4.572490349999981,balanced,3.848876953125,dev-d,3
1024,0.505126953125,4.088660005000008,balanced,3.98291015625,dev-a,3
1024,0.751220703125,5.608885464999986,balanced,3.186767578125,dev-b,1
1024,0.75390625,5.695974643,balanced,4.462646484375,dev-c,2
1024,0.502197265625,4.311377335000003,balanced,3.787841796875,dev-d,2
