block_index,bytes,cheap_payload_bits,distinct_transition_count,hybrid_model_evaluations,hybrid_payload_bits,hybrid_saving_bits,longest_run,max_hist_count,neural_model_evaluations,neural_payload_bits,probe_code_bits_ceil,probe_code_bits_floor,start,stream,surprise_early_minus_late,surprise_max_ceil,surprise_range_ceil,surprise_sum_ceil,surprise_variance_proxy,transition_count,unique_count,very_surprising_count
0,512,2596,14,511,2051,545,3,3,511,1981,126,125,0,p12-mix-a,-9,9,7,135,735,13,11,13
1,512,3091,13,511,2857,234,4,5,511,2803,117,116,512,p12-mix-a,12,9,7,128,1344,12,11,12
2,512,3244,15,511,3209,35,1,1,511,3209,129,128,1024,p12-mix-a,-1,9,1,143,15,15,16,15
3,512,1874,14,511,1786,88,1,2,511,1771,125,124,1536,p12-mix-a,3,9,1,139,55,15,12,11
4,512,1722,15,400,1553,169,1,2,400,1539,128,127,2048,p12-mix-a,0,9,1,142,28,15,15,14
5,512,1587,10,316,1282,305,2,4,316,1206,110,109,2560,p12-mix-a,20,9,6,120,1216,13,7,9
6,512,1752,13,511,1609,143,1,4,511,1550,122,121,3072,p12-mix-a,5,9,3,135,191,15,11,10
7,512,1825,14,511,1664,161,1,3,511,1632,126,125,3584,p12-mix-a,3,9,2,139,87,15,13,12
0,512,2162,15,511,2007,155,2,2,511,1990,131,130,0,p12-mix-b,-1,9,1,141,39,14,13,13
1,512,1822,14,511,1810,12,1,2,511,1783,126,125,512,p12-mix-b,0,9,1,140,48,15,13,12
2,512,1412,10,511,1404,8,3,6,511,1409,102,101,1024,p12-mix-b,3,9,7,111,2031,9,4,9
3,512,2603,12,511,2152,451,2,5,511,2150,109,108,1536,p12-mix-b,12,9,3,120,256,13,4,3
4,512,2299,15,511,1787,512,1,3,511,1739,123,122,2048,p12-mix-b,2,9,2,136,96,15,10,9
5,512,3897,15,511,3838,59,1,3,511,3780,124,123,2560,p12-mix-b,5,9,2,137,95,15,11,10
6,512,4156,15,511,4159,-3,1,2,511,4160,128,127,3072,p12-mix-b,0,9,1,142,28,15,15,14
7,512,4163,15,511,4161,2,1,1,511,4174,129,128,3584,p12-mix-b,-1,9,1,143,15,15,16,15
0,512,2059,15,289,1767,292,1,3,289,1703,124,123,0,p12-mix-c,3,9,2,137,95,15,11,10
1,512,2437,15,511,1863,574,1,2,511,1803,125,124,512,p12-mix-c,1,9,1,139,55,15,12,11
2,512,2587,10,511,2142,445,5,7,511,2095,107,106,1024,p12-mix-c,20,9,6,118,892,11,7,6
3,512,3479,7,511,3448,31,8,10,511,3414,83,82,1536,p12-mix-c,-27,10,9,91,3479,7,6,7
4,512,2771,15,500,2648,123,1,1,500,2648,129,128,2048,p12-mix-c,-1,9,1,143,15,15,16,15
5,512,1949,15,456,1827,122,1,3,456,1784,125,124,2560,p12-mix-c,4,9,2,138,92,15,12,11
6,512,2680,15,499,2280,400,1,2,499,2275,125,124,3072,p12-mix-c,3,9,1,139,55,15,12,11
7,512,2612,14,492,2389,223,1,2,492,2351,126,125,3584,p12-mix-c,2,9,1,140,48,15,13,12
0,512,1750,15,511,1618,132,1,2,511,1573,125,124,0,p12-mix-d,3,9,1,139,55,15,12,11
1,512,2019,13,511,1843,176,3,3,511,1799,125,124,512,p12-mix-d,-9,9,7,135,735,13,11,13
2,512,1498,15,511,1448,50,1,2,511,1437,128,127,1024,p12-mix-d,-2,9,1,142,28,15,15,14
3,512,981,14,205,872,109,1,2,205,858,125,124,1536,p12-mix-d,3,9,1,139,55,15,12,11
4,512,4011,15,511,4006,5,1,2,511,4009,128,127,2048,p12-mix-d,-2,9,1,142,28,15,15,14
