candidate_id,deployed_complexity,deployed_feature_count,family,feature_names,feature_set,fit_simulated_model_eval_fraction,fit_simulated_payload_bpb,float_vs_deployed_route_mismatches,max_depth,min_leaf,quantization_scale,ridge,rule,search_codec_decision_mismatches,validation_actual_max_model_eval_fraction,validation_actual_mean_model_eval_fraction,validation_actual_mean_payload_bpb,validation_simulated_model_eval_fraction,validation_simulated_payload_bpb
tree-compact6-d2-l4,3,1,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""]",compact6,0.46307373046875,4.650726318359375,,2,4,,,"{""nodes"": [{""feature"": ""unique_count"", ""greater"": 2, ""less_equal"": 1, ""threshold"": 12}, {""value"": 1}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.44097900390625,4.404296875,0.44097900390625,4.40618896484375
tree-compact6-d2-l8,3,1,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""]",compact6,0.46307373046875,4.650726318359375,,2,8,,,"{""nodes"": [{""feature"": ""unique_count"", ""greater"": 2, ""less_equal"": 1, ""threshold"": 12}, {""value"": 1}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.44097900390625,4.404296875,0.44097900390625,4.40618896484375
tree-compact6-d3-l4,9,3,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""]",compact6,0.460540771484375,4.650909423828125,,3,4,,,"{""nodes"": [{""feature"": ""unique_count"", ""greater"": 6, ""less_equal"": 1, ""threshold"": 12}, {""feature"": ""probe_code_bits_ceil"", ""greater"": 3, ""less_equal"": 2, ""threshold"": 110}, {""value"": 1}, {""feature"": ""max_hist_count"", ""greater"": 5, ""less_equal"": 4, ""threshold"": 3}, {""value"": 1}, {""value"": 0}, {""feature"": ""probe_code_bits_ceil"", ""greater"": 8, ""less_equal"": 7, ""threshold"": 127}, {""value"": 1}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.46630859375,4.417724609375,0.46630859375,4.41973876953125
tree-compact6-d3-l8,3,1,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""]",compact6,0.46307373046875,4.650726318359375,,3,8,,,"{""nodes"": [{""feature"": ""unique_count"", ""greater"": 2, ""less_equal"": 1, ""threshold"": 12}, {""value"": 1}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.44097900390625,4.404296875,0.44097900390625,4.40618896484375
linear-compact6-r1,6,6,quantized-linear,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""]",compact6,0.444580078125,4.6400146484375,4,,,256,1.0,"{""bias"": 167426, ""feature_names"": [""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""], ""threshold"": 51200, ""type"": ""quantized-linear"", ""weights"": [9, -8346, -11417, 14840, 26010, -26655]}",0,0.4990234375,0.3466796875,4.41339111328125,0.3466796875,4.415283203125
linear-compact6-r10,6,6,quantized-linear,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""]",compact6,0.460540771484375,4.64141845703125,0,,,256,10.0,"{""bias"": 192789, ""feature_names"": [""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""longest_run"", ""surprise_max_ceil""], ""threshold"": 46363, ""type"": ""quantized-linear"", ""weights"": [11, -3709, -2118, 2786, 7057, -16194]}",0,0.4990234375,0.44097900390625,4.39599609375,0.44097900390625,4.39794921875
tree-all12-d2-l4,5,2,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""distinct_transition_count"", ""longest_run"", ""surprise_sum_ceil"", ""surprise_max_ceil"", ""surprise_range_ceil"", ""surprise_variance_proxy"", ""surprise_early_minus_late"", ""very_surprising_count""]",all12,0.45867919921875,4.662078857421875,,2,4,,,"{""nodes"": [{""feature"": ""very_surprising_count"", ""greater"": 2, ""less_equal"": 1, ""threshold"": 6}, {""value"": 1}, {""feature"": ""unique_count"", ""greater"": 4, ""less_equal"": 3, ""threshold"": 14}, {""value"": 1}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.44097900390625,4.41522216796875,0.44097900390625,4.41705322265625
tree-all12-d2-l8,3,1,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""distinct_transition_count"", ""longest_run"", ""surprise_sum_ceil"", ""surprise_max_ceil"", ""surprise_range_ceil"", ""surprise_variance_proxy"", ""surprise_early_minus_late"", ""very_surprising_count""]",all12,0.46307373046875,4.650726318359375,,2,8,,,"{""nodes"": [{""feature"": ""unique_count"", ""greater"": 2, ""less_equal"": 1, ""threshold"": 12}, {""value"": 1}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.44097900390625,4.404296875,0.44097900390625,4.40618896484375
tree-all12-d3-l4,7,3,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""distinct_transition_count"", ""longest_run"", ""surprise_sum_ceil"", ""surprise_max_ceil"", ""surprise_range_ceil"", ""surprise_variance_proxy"", ""surprise_early_minus_late"", ""very_surprising_count""]",all12,0.457000732421875,4.63763427734375,,3,4,,,"{""nodes"": [{""feature"": ""very_surprising_count"", ""greater"": 2, ""less_equal"": 1, ""threshold"": 6}, {""value"": 1}, {""feature"": ""unique_count"", ""greater"": 6, ""less_equal"": 3, ""threshold"": 14}, {""feature"": ""max_hist_count"", ""greater"": 5, ""less_equal"": 4, ""threshold"": 4}, {""value"": 1}, {""value"": 0}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.4368896484375,4.41766357421875,0.4368896484375,4.41949462890625
tree-all12-d3-l8,9,3,decision-tree,"[""probe_code_bits_ceil"", ""unique_count"", ""max_hist_count"", ""transition_count"", ""distinct_transition_count"", ""longest_run"", ""surprise_sum_ceil"", ""surprise_max_ceil"", ""surprise_range_ceil"", ""surprise_variance_proxy"", ""surprise_early_minus_late"", ""very_surprising_count""]",all12,0.452423095703125,4.656158447265625,,3,8,,,"{""nodes"": [{""feature"": ""unique_count"", ""greater"": 6, ""less_equal"": 1, ""threshold"": 12}, {""feature"": ""surprise_early_minus_late"", ""greater"": 3, ""less_equal"": 2, ""threshold"": 1}, {""value"": 1}, {""feature"": ""probe_code_bits_ceil"", ""greater"": 5, ""less_equal"": 4, ""threshold"": 124}, {""value"": 1}, {""value"": 0}, {""feature"": ""unique_count"", ""greater"": 8, ""less_equal"": 7, ""threshold"": 14}, {""value"": 1}, {""value"": 0}], ""threshold"": 1, ""type"": ""decision-tree""}",0,0.4990234375,0.44097900390625,4.41046142578125,0.44097900390625,4.41229248046875
