block_index,bytes,cheap_payload_bits,forced_horizon32_minus_horizon16_bits,hybrid16_model_evaluations,hybrid16_payload_bits,hybrid16_saving_bits,hybrid32_model_evaluations,hybrid32_payload_bits,hybrid32_saving_bits,start,stream,unique_count_16,unique_count_32
0,512,2596,32,511,2051,545,511,2083,513,0,p12-mix-a,11,21
1,512,3091,47,511,2857,234,511,2904,187,512,p12-mix-a,11,16
2,512,3244,-1,511,3209,35,511,3208,36,1024,p12-mix-a,16,30
3,512,1874,48,511,1786,88,511,1834,40,1536,p12-mix-a,12,21
4,512,1722,45,400,1553,169,400,1598,124,2048,p12-mix-a,15,26
5,512,1587,4,316,1282,305,316,1286,301,2560,p12-mix-a,7,7
6,512,1752,46,511,1609,143,511,1655,97,3072,p12-mix-a,11,17
7,512,1825,21,511,1664,161,511,1685,140,3584,p12-mix-a,13,16
0,512,2162,25,511,2007,155,511,2032,130,0,p12-mix-b,13,20
1,512,1822,14,511,1810,12,511,1824,-2,512,p12-mix-b,13,22
2,512,1412,6,511,1404,8,511,1410,2,1024,p12-mix-b,4,4
3,512,2603,-3,511,2152,451,511,2149,454,1536,p12-mix-b,4,4
4,512,2299,58,511,1787,512,511,1845,454,2048,p12-mix-b,10,14
5,512,3897,68,511,3838,59,511,3906,-9,2560,p12-mix-b,11,14
6,512,4156,0,511,4159,-3,511,4159,-3,3072,p12-mix-b,15,30
7,512,4163,0,511,4161,2,511,4161,2,3584,p12-mix-b,16,31
0,512,2059,65,289,1767,292,289,1832,227,0,p12-mix-c,11,16
1,512,2437,77,511,1863,574,511,1940,497,512,p12-mix-c,12,14
2,512,2587,45,511,2142,445,511,2187,400,1024,p12-mix-c,7,12
3,512,3479,47,511,3448,31,511,3495,-16,1536,p12-mix-c,6,9
4,512,2771,-1,500,2648,123,500,2647,124,2048,p12-mix-c,16,27
5,512,1949,37,456,1827,122,456,1864,85,2560,p12-mix-c,12,13
6,512,2680,38,499,2280,400,499,2318,362,3072,p12-mix-c,12,22
7,512,2612,5,492,2389,223,492,2394,218,3584,p12-mix-c,13,23
0,512,1750,33,511,1618,132,511,1651,99,0,p12-mix-d,12,20
1,512,2019,45,511,1843,176,511,1888,131,512,p12-mix-d,11,18
2,512,1498,23,511,1448,50,511,1471,27,1024,p12-mix-d,15,20
3,512,981,49,205,872,109,205,921,60,1536,p12-mix-d,12,21
4,512,4011,-5,511,4006,5,511,4001,10,2048,p12-mix-d,15,30
5,512,2974,0,509,2736,238,509,2736,238,2560,p12-mix-d,16,32
6,512,1977,16,509,1481,496,509,1497,480,3072,p12-mix-d,6,6
7,512,1981,47,511,1664,317,511,1711,270,3584,p12-mix-d,14,19
0,512,4171,1,511,4162,9,511,4163,8,0,p12-mix-e,16,31
1,512,2237,47,511,1805,432,511,1852,385,512,p12-mix-e,11,16
2,512,2587,45,511,2142,445,511,2187,400,1024,p12-mix-e,7,12
3,512,1824,48,511,1694,130,511,1742,82,1536,p12-mix-e,6,9
4,512,2075,-3,500,1986,89,500,1983,92,2048,p12-mix-e,4,4
5,512,1949,37,456,1827,122,456,1864,85,2560,p12-mix-e,12,13
6,512,2680,38,499,2280,400,499,2318,362,3072,p12-mix-e,12,22
7,512,2612,5,492,2389,223,492,2394,218,3584,p12-mix-e,13,23
0,512,2546,32,502,1939,607,502,1971,575,0,p12-mix-f,11,21
1,512,326,1,41,320,6,41,321,5,512,p12-mix-f,7,7
2,512,1766,4,508,1699,67,508,1703,63,1024,p12-mix-f,7,7
3,512,4187,0,511,4179,8,511,4179,8,1536,p12-mix-f,16,30
4,512,2920,2,511,2819,101,511,2821,99,2048,p12-mix-f,15,27
5,512,1780,31,511,1638,142,511,1669,111,2560,p12-mix-f,13,21
6,512,1752,46,511,1609,143,511,1655,97,3072,p12-mix-f,11,17
7,512,1825,21,511,1664,161,511,1685,140,3584,p12-mix-f,13,16
0,512,2704,31,511,2399,305,511,2430,274,0,p13-mix-a,13,20
1,512,3304,17,511,3219,85,511,3236,68,512,p13-mix-a,11,18
2,512,3396,1,511,3370,26,511,3371,25,1024,p13-mix-a,15,29
3,512,1945,5,511,1880,65,511,1885,60,1536,p13-mix-a,14,18
4,512,2099,65,428,1880,219,428,1945,154,2048,p13-mix-a,13,19
5,512,1516,7,280,1424,92,280,1431,85,2560,p13-mix-a,10,15
6,512,1771,48,511,1621,150,511,1669,102,3072,p13-mix-a,12,17
7,512,1830,21,511,1665,165,511,1686,144,3584,p13-mix-a,11,15
0,512,2487,45,511,2079,408,511,2124,363,0,p13-mix-b,12,20
1,512,2325,49,511,2140,185,511,2189,136,512,p13-mix-b,10,18
2,512,1402,3,511,1406,-4,511,1409,-7,1024,p13-mix-b,4,4
3,512,2538,-6,511,2163,375,511,2157,381,1536,p13-mix-b,4,4
4,512,2392,41,511,2099,293,511,2140,252,2048,p13-mix-b,12,18
5,512,3912,48,511,3876,36,511,3924,-12,2560,p13-mix-b,10,13
6,512,4179,0,511,4174,5,511,4174,5,3072,p13-mix-b,16,31
7,512,4166,1,511,4166,0,511,4167,-1,3584,p13-mix-b,16,30
0,512,2059,65,289,1767,292,289,1832,227,0,p13-mix-c,11,16
1,512,2554,76,511,2142,412,511,2218,336,512,p13-mix-c,12,14
2,512,2450,44,511,2104,346,511,2148,302,1024,p13-mix-c,14,20
3,512,3633,9,511,3573,60,511,3582,51,1536,p13-mix-c,12,20
4,512,3107,-1,511,2813,294,511,2812,295,2048,p13-mix-c,15,26
5,512,2137,40,495,1954,183,495,1994,143,2560,p13-mix-c,15,21
6,512,2330,53,511,2112,218,511,2165,165,3072,p13-mix-c,15,23
7,512,2458,38,511,2182,276,511,2220,238,3584,p13-mix-c,11,20
0,512,1738,33,511,1605,133,511,1638,100,0,p13-mix-d,12,20
1,512,2347,52,511,2100,247,511,2152,195,512,p13-mix-d,11,19
2,512,2144,10,511,2019,125,511,2029,115,1024,p13-mix-d,12,15
3,512,1264,5,219,1266,-2,219,1271,-7,1536,p13-mix-d,14,18
4,512,4023,-1,511,4043,-20,511,4042,-19,2048,p13-mix-d,13,22
5,512,3186,4,511,3030,156,511,3034,152,2560,p13-mix-d,16,22
6,512,2295,43,511,2077,218,511,2120,175,3072,p13-mix-d,10,15
7,512,2410,50,511,2061,349,511,2111,299,3584,p13-mix-d,12,17
0,512,4170,0,511,4165,5,511,4165,5,0,p13-mix-e,15,29
1,512,2829,48,511,2572,257,511,2620,209,512,p13-mix-e,10,18
2,512,2144,10,511,2019,125,511,2029,115,1024,p13-mix-e,12,15
3,512,1755,6,511,1765,-10,511,1771,-16,1536,p13-mix-e,14,18
4,512,2002,-1,511,1804,198,511,1803,199,2048,p13-mix-e,4,4
5,512,2435,48,511,2145,290,511,2193,242,2560,p13-mix-e,10,13
6,512,2295,43,511,2077,218,511,2120,175,3072,p13-mix-e,10,15
7,512,2410,50,511,2061,349,511,2111,299,3584,p13-mix-e,12,17
0,512,2722,31,511,2422,300,511,2453,269,0,p13-mix-f,13,20
1,512,571,2,53,597,-26,53,599,-28,512,p13-mix-f,11,15
2,512,2131,8,511,2044,87,511,2052,79,1024,p13-mix-f,12,15
3,512,4191,0,511,4187,4,511,4187,4,1536,p13-mix-f,16,32
4,512,3088,0,511,2963,125,511,2963,125,2048,p13-mix-f,16,30
5,512,1775,31,511,1637,138,511,1668,107,2560,p13-mix-f,13,21
6,512,1771,48,511,1621,150,511,1669,102,3072,p13-mix-f,12,17
7,512,1830,21,511,1665,165,511,1686,144,3584,p13-mix-f,11,15
